CRS,Tiploc,Description,Stannox
,EBOUSID,EASTBOURNE SIDINGS,88255
,EBOUSPS,EASTBOURNE SPIKE SIDING,0
,EBRYBGJ,EBURY BRIDGE JN,0
,EBSF531,EBBSFLEET INTL SIG AF531,0
,EBSF533,EBBSFLEET INTL SIG AF533,0
,EBSFACT,EBBSFLEET CTRL,89536
EBD,EBSFDOM,EBBSFLEET INTL (DOMESTIC),89530
XXI,EBSFEJN,EBBSFLEET E JN,89532
EBF,EBSFLTI,EBBSFLEET INTERNATIONAL,89530
XXJ,EBSFWJN,EBBSFLEET W JN,89529
EBV,EBWVPWY,EBBW VALE PARKWAY,76646
,EBWVRAS,RASSAU,0
,EBWVSGF,EBBW VALE STH GROUND FRAME,76644
,EBWVTCR,EBBW VALE TOWN CENTRE,0
EBB,EBWVTN,EBBW VALE TOWN,76647
ECC,ECCLES,ECCLES,31739
,ECCLUGL,ECCLES UP GOODS LOOP,31740
,ECKNGTL,ECKINGTON LOOP,67372
,ECLFECH,ECCLEFECHAN,7993
ECS,ECLR,ECCLES ROAD,48511
,ECLRDJS,ECCLES RD JOHNSTON'S SDG,48512
,ECLREXC,ECCLES RD EXCHANGE SIDINGS,48510
,ECLRFHH,ECCLES ROAD FHH,48513
,ECLSFLW,ECCLESFIELD WEST S.B.,25306
ECL,ECPK,ECCLESTON PARK,36615
,ECRO065,EAST CROYDON SIGNAL T1065,87699
,ECRO067,EAST CROYDON SIG T1067,87737
,ECRO080,EAST CROYDON SIGNAL T1080,0
,ECRO082,EAST CROYDON 1082,87698
,ECROUS,EAST CROYDON UP SIDINGS,87702
ECR,ECROYDN,EAST CROYDON,87701
EDL,EDALE,EDALE,34005
,EDALE16,EDALE SIGNAL EE16,34016
,EDALERS,EDALE REFUGE SIDINGS,34014
,EDENVGL,EDEN VALLEY GOODS LOOP,9314
,EDERTON,EDDERTON,1043
,EDGELAJ,EDGE LANE JN,36109
EDG,EDGH,EDGE HILL,36170
,EDGHCMD,EDGE HILL CAR. M.D.,36173
XEG,EDGHDHS,EDGE HILL DEPOT,36173
XDG,EDGHDWG,EDGE HILL DOWN WAPPING,36174
,EDGHGTS,EDGE HILL GULLET SDGS,36176
,EDGHSB,FORMER EDGE HILL S.B.,36175
ZED,EDGWARE,EDGWARE (LUL),0
EDY,EDIDBRY,EAST DIDSBURY,32524
,EDIN482,EDINBURGH SIGNAL 482,4312
,EDIN488,EDINBURGH SIGNAL 488,4313
,EDIN605,EDINBURGH SIG EP605,4315
,EDIN813,EDINBURGH SIGNAL E813,4306
,EDIN815,EDINBURGH SIGNAL E815,4307
,EDIN854,EDINBURGH SIG EP854,4316
,EDIN907,HAYMARKET CEN JN SIG EH907,4231
EDA,EDINAIR,EDINBURGH AIRPORT,0
EDB,EDINBUR,EDINBURGH,4303
EBS,EDINBUS,EDINBURGH BUS STATION,0
EGY,EDINGWY,EDINBURGH GATEWAY,4304
EDP,EDINPRK,EDINBURGH PARK,4039
,EDINSTE,EDINBURGH S.& T.E.,0
EDR,EDMNGRN,EDMONTON GREEN,51949
EBR,EDNB,EDENBRIDGE,87736
EBT,EDNT,EDENBRIDGE TOWN,87760
EDN,EDPK,EDEN PARK,88325
EDW,EDULWCH,EAST DULWICH,87610
EFL,EFARLGH,EAST FARLEIGH,89322
,EFLDPL,EASTFIELD PASSENGER LOOP,6432
XED,EFLDTMD,EASTFIELD H.S.,6430
,EFNG322,EFFINGHAM JN SIGNAL GD1322,87076
EFF,EFNGHMJ,EFFINGHAM JUNCTION,87071
XFF,EFNGJNK,EFFINGHAM JUNCTION NECK,87073
,EFNGS98,EFFINGHAM JN SIGNAL WX98,87071
XEJ,EFNGSHD,EFFINGHAM JN. C.H.S.,87056
,EGATEBC,EASTGATE BLUE CIRCLE,15811
,EGBRCRL,EGGBOROUGH PS COLAS RAIL,18043
,EGBRFLH,EGGBOROUGH P.S. (FLHH),18006
,EGBRGBF,EGGBOROUGH P.S. (GBRF),17995
,EGBROPS,EGGBOROUGH POWER STATION,18007
EGG,EGGESFD,EGGESFORD,83232
EGH,EGHAM,EGHAM,87107
,EGLNSTJ,EGLINTON ST JN,7245
,EGLSCDL,EAGLESCLIFFE DOWN LOOP,15704
EAG,EGLSCLF,EAGLESCLIFFE,15701
,EGLSMSL,EAGLESCLIFFE MARSHALLS EWS,15700
,EGNGTNJ,EGGINTON JN,57461
EGF,EGRFRTH,EAST GARFORTH,16603
,EGRMECC,EAST GRIMSTEAD E.C.C.,86113
,EGRNSID,EAST GRINSTEAD SIDINGS,87758
EGR,EGRNSTD,EAST GRINSTEAD,87759
,EGRYN,EGRYN,0
EGT,EGTON,EGTON,15519
,EHMDCEJ,EAST HAM DEP COUNTRY E. JN,51603
XEM,EHMEMUD,EAST HAM E.M.U.D.,51602
,EHOLMSB,EAST HOLMES S B,44036
EIG,EIGG,EIGG,0
,EINSLHF,EINSIEDLERHOF,95
,EJSTNGB,EASTERN JN (SITTINGBOURNE),89139
EKL,EKILBRD,EAST KILBRIDE,7231
,ELBOWNJ,ELBOWEND JN,0
ZET,ELCT,EARLS COURT L.T.,72246
,ELDR143,ELDERSLIE SIG PE143,7120
,ELDRDBS,ELDERSLIE (DBC),7110
,ELDRDRS,ELDERSLIE US (DRS),7114
,ELDRFLT,ELDERSLIE (FLINER),7111
,ELDRSCE,ELDERSLIE C.E.,7112
,ELDRSLI,ELDERSLIE,7112
,ELDRUPL,ELDERSLIE U.P.L.,7113
,ELFORDL,ELFORD,66007
ESL,ELGH,EASTLEIGH,86087
,ELGH103,EASTLEIGH SIGNAL E103,0
,ELGH105,EASTLEIGH SIG. E105,0
,ELGH222,EASTLEIGH SIGNAL 222,86102
,ELGH225,EASTLEIGH SIGNAL E225,86067
,ELGH228,EASTLEIGH SIGNAL E228,86134
,ELGH230,EASTLEIGH SIGNAL E230,86102
,ELGH241,EASTLEIGH DEPOT SIGNAL 241,86147
,ELGH243,EASTLEIGH DEPOT SIGNAL 243,86148
,ELGH245,EASTLEIGH DEP ENT/EXT SIG,86146
,ELGH26,EASTLEIGH SIGNAL E26,0
,ELGH32,EASTLEIGH SIGNAL E32,0
,ELGH372,EASTLEIGH SIGNAL EH372,86151
,ELGH81,EASTLEIGH SIG. E81,86087
,ELGH85,EASTLEIGH SIGNAL E85,86143
,ELGH862,EASTLEIGH SIGNAL E862,86141
,ELGH97,EASTLEIGH SIGNAL E97,86149
XEW,ELGHABK,ALLBROOK,86104
,ELGHAFL,EASTLEIGH WORKS-ALSTOM-FL,86127
,ELGHAGF,EASTLEIGH F.Y. AGG (FLHH),86204
,ELGHAGG,EASTLEIGH AGGREGATE SDGS.,86099
XFB,ELGHBRM,EASTLEIGH ARLINGTON (ZG),86092
XEX,ELGHDCS,EASTLEIGH D.C.S.,86085
,ELGHE28,EASTLEIGH SIGNAL E28,0
,ELGHEJN,EASTLEIGH EAST JN,86102
,ELGHENY,EASTLEIGH EAST YARD,86090
,ELGHFLD,EASTLEIGH DPT FREIGHTLINER,86098
,ELGHGBR,EASTLEIGH WORKS GBRF,86109
,ELGHHS,EASTLEIGH H.S.,86091
,ELGHLWR,EASTLEIGH LWR DEPOT,86089
,ELGHMCS,EASTLEIGH MARCROFT SIDING,86095
,ELGHMY,EASTLEIGH MARSHALLING YARD,86140
,ELGHPAD,EASTLEIGH AXIOM C&W SDGS,86094
,ELGHSCS,EASTLEIGH DEPOT CS,0
,ELGHSFP,EASTLEIGH DEPOT FP,0
,ELGHSJN,EASTLEIGH SOUTH JN,86097
,ELGHSLJ,EASTLEIGH SINGLE LINE JN,86155
XEH,ELGHTMD,EASTLEIGH TRSMD,86093
,ELGHVQ,EASTLEIGH VIRTUAL QUARRY,86105
,ELGHWJN,EASTLEIGH WEST JUNCTION,86106
ELG,ELGIN,ELGIN,2007
,ELGINSB,ELGIN S.B.,2006
,ELGINY,ELGIN YARD,2008
,ELINTON,EAST LINTON,0
ELN,ELLAND,ELLAND,18453
,ELLBNLL,ELL BOUNDARY NLL,0
,ELLBNTH,ELL BOUNDARY NORTH,87592
,ELLBSTH,ELL BOUNDARY SOUTH,87592
,ELME395,ELMERS END SIG TL1395,88320
ELE,ELMERSE,ELMERS END,88321
ESW,ELMSWEL,ELMSWELL,46404
,ELMTNAC,ELMTON & CRESWELL JN.,28001
ESD,ELMW,ELMSTEAD WOODS,88468
EPH,ELPHNAC,ELEPHANT & CASTLE,87246
ELR,ELSC,ELSECAR,25308
ESM,ELSENHM,ELSENHAM,47335
,ELSHAM,ELSHAM,22002
,ELSMCFL,CAWOODS FREIGHTLINER,38327
,ELSMGBF,ELLESMERE PORT GBF,38325
,ELSMLHS,ELLESMERE PORT L.H.S.,38320
,ELSMMWF,ELLESMERE PORT M WHARF FHH,38326
,ELSMPCS,ELLESMERE PORT CAWOODS,38322
,ELSMPDB,ELLESMERE PORT (DBC),38324
,ELSMPFH,ELLESMERE PORT (FHH),38323
,ELSMPGY,ELLESMERE PORT GOODS YARD,38341
,ELSMPOC,ELLESMERE PORT ASSTD OCTEL,38352
ELP,ELSMPRT,ELLESMERE PORT,38317
,ELSMPTC,ELLESMERE PORT T.C.,38320
,ELSMRPE,ELLESMERE PORT EAST SDGS,38320
,ELSMRPW,ELLESMERE PORT WEST SDGS,38318
,ELSMUDG,ELLESMERE PORT U&DGL,38351
EAS,ELSN,EARLSTON,0
,ELSTFHH,ELSTOW (FLHH),62204
,ELSTGBF,ELSTOW REDLANDS GBRF,62196
,ELSTORS,ELSTOW REDLAND SDG,62199
,ELSTOW,ELSTOW,62197
ELW,ELTHAM,ELTHAM,88418
ELO,ELTON,ELTON & ORSTON,44514
ELS,ELTR,ELSTREE & BOREHAMWOOD,63212
,ELVFOOT,ELVANFOOT,7984
,ELVWATV,ELVAN WATER VIADUCT,7991
EWD,ELWD,EARLSWOOD (WEST MIDLANDS),66447
ELY,ELYY,ELY,46273
,ELYY259,ELY SIGNAL CA259,46286
,ELYY776,ELY NORTH SIG CA776 (GPL),46291
,ELYYDLN,ELY DOCK JN,46275
,ELYYDTS,ELY DOWN THROUGH SIDING,46274
,ELYYFLT,ELY PAPWORTH SIDINGS FLT,46267
,ELYYGBF,ELY PAPWORTH SDGS GBRF,46290
XYE,ELYYNJN,ELY NORTH JN,46272
,ELYYPAW,ELY MLF PAPWORTH SIDINGS,46271
,ELYYREC,ELY RECP.,46274
,ELYYUGL,ELY UP GOODS LOOP,46292
,ELYYWJN,ELY WEST JN,46270
EML,EMALING,EAST MALLING,89411
ZEK,EMBKMNT,EMBANKMENT LT,72353
,EMGT457,EAST MIDS GATEWAY SS4457,56631
,EMGTDB,EAST MIDS GATEWAY TML DBC,56624
,EMGTFL,EAST MIDS GATEWAY TL (FL),56632
,EMGTWA,EAST MIDS GATEWAY ARRIVAL,56630
,EMGTWT,EAST MIDS GATEWAY TERMINAL,56623
EMA,EMPKAIR,EAST MIDLANDS AIRPORT (BUS,0
XFI,EMPKAR2,EAST MIDS AIPORT (BUS) 2,0
,EMPKAR3,EAST MIDS AIPORT (BUS) 3,0
EMD,EMPKWAY,EAST MIDLANDS PARKWAY,56650
EMP,EMRSPKH,EMERSON PARK,50391
EMS,EMSWTH,EMSWORTH,86343
ENC,ENFC,ENFIELD CHASE,53301
,ENFCOAK,OAKWOOD LUL (ENFIELD),0
,ENFL531,ENFIELD TOWN SIGNAL L5531,51945
ENL,ENFLDLK,ENFIELD LOCK,51913
ENF,ENFLDTN,ENFIELD TOWN,51946
ENS,ENISCTY,ENNISCORTHY,0
ENT,ENTWISL,ENTWISTLE,29175
,EPCKGBF,EAST PECKHAM TIP GBRF,87587
,EPCKHMR,EAST PECKHAM REVERSE,89320
,EPCKHMT,EAST PECKHAM TIP,89319
ZEL,EPHT,ELEPHANT & CASTLE (LT),72359
EPD,EPSDNS,EPSOM DOWNS,87692
EPS,EPSM,EPSOM,87681
,EPSM181,EPSOM SIG W1181,87684
,EPSM444,EPSOM SIG 444,87681
,EPSM456,EPSOM SIG 456,87682
,EPSMBAL,EPSOM (BALLAST),87680
,EPSMDS,EPSOM - DOWN SIDINGS,87682
,EPSMSW,EPSOM,87681
XFK,EPSMUS,EPSOM - UP SIDINGS,87682
ZPU,EPUTNEY,EAST PUTNEY,87243
ERD,ERDNGTN,ERDINGTON,65606
ECP,ERGNCHP,ENERGLYN & CHURCHILL PARK,78370
ERB,ERIDBUS,ERIDGE (A26 BUS STOP),0
ERI,ERIDGE,ERIDGE,87764
,ERIGCRO,EASTRIGGS CROSSOVER,9036
,ERIGMOD,EASTRIGGS M.O.D.,9035
ERH,ERITH,ERITH,88604
,ERITHLP,ERITH LOOP,88426
,ERLEBCI,HOPE SIDINGS (B.C.I.),34006
,ERLEFHH,HOPE (EARLES SIDINGS) FHH,34004
,ERLEHES,HOPE (EARLES SIDINGS) DBS,34007
,ERLES30,EARLES SIDINGS SIG ES30,34018
,ERLES31,EARLES SIDINGS SIG ES31,34017
,ERLESDG,EARLES SDGS S.B.,34009
EAD,ERLFLD,EARLSFIELD,87250
,ERLSTSJ,EARLESTOWN SOUTH JN,35327
,ERLSTWJ,EARLESTOWN WEST JN,35328
ERL,ERLSTWN,EARLESTOWN,35325
,ERLSUDL,EARLSTOWN UP & DOWN LOOP,35326
EAR,ERLY,EARLEY,87002
,ERROLCE,ERROL C.E.,3068
,ERROLLC,ERROL,3069
,ERSTHCS,EARLSEAT HALL CONSTRUCTION,3231
ESH,ESHER,ESHER,86002
EST,ESHS,EASTERHOUSE,6712
XES,ESJLEDS,ENGINE SHED JN.,17149
EKB,ESKBANK,ESKBANK,4709
,ESKDALE,ESKDALE (DALEGARTH),0
,ESKMLS,ESKMEALS,11207
,ESNTNWS,ESSINGTON WOOD SDGS,65515
EXR,ESSEXRD,ESSEX ROAD,54295
ESS,ESSNHBF,ESSEN HBF,20
MTC,ESTFLDS,MITCHAM EASTFIELDS,87659
ERA,ESTHRAK,EASTHAM RAKE,38220
EGN,ESTRNGT,EASTRINGTON,19218
,ESTSOMJ,EAST SOMERSET JN,82241
ETC,ETCHNGM,ETCHINGHAM,89394
ETL,ETILBRY,EAST TILBURY,51130
,ETRUGJN,GRANGE JN.,43114
,EURODS,EUROTUNNEL DIESEL SHED,89702
,EUROHS,EUROTUNNEL DEPOT HEADSHUNT,89701
,EUSKALS,EAST USK BRANCH ALPHASTEEL,76116
,EUSKBCH,EAST USK BRANCH,76117
,EUSKBDP,EAST USK BRANCH BIRDPORT,76126
,EUSKFHH,EAST USK YARD (FHH),76123
,EUSKJN,EAST USK JN.,76114
,EUSKJNY,EAST USK JN. N. Y.,76120
,EUSKORB,EAST USK ORB WORKS EWS,76115
,EUST102,EUSTON SIG WM102,72405
,EUST104,EUSTON SIG WM104,72407
,EUST284,EUSTON SIG WM284,72409
,EUST286,EUSTON SIG WM286,72397
,EUST308,EUSTON SIG WM308,72396
,EUST310,EUSTON SIG WM310,72395
,EUST473,EUSTON SIG WM473,72394
,EUST488,EUSTON SIG WM488,72393
,EUST501,EUSTON SIG WM501,72392
,EUST510,EUSTON SIG WM510,72391
,EUST512,EUSTON SIG WM512,72390
,EUST610,EUSTON SIG WM610,72389
,EUSTBAL,EUSTON BALLAST,72411
,EUSTDCN,EUSTON DOWN CARR SHED NECK,72403
,EUSTNHS,EUSTON H.S.,72408
EUS,EUSTON,LONDON EUSTON,72410
,EUSTPKS,PARK STREET MBR SITE,71033
XEN,EUSTRES,EUSTON R.E.S.,72402
XEU,EUSTUCS,EUSTON UP CARRIAGE SHED,72406
EBA,EUXT,EUXTON BALSHAW LANE,30163
XOU,EUXTONJ,EUXTON JN,30164
,EUXTSGF,EUXTON R.O.F. SDGS G.F.,30202
,EVANTON,EVANTON,1060
,EVERSHT,EVERSHOT,82317
EVE,EVESHAM,EVESHAM,67351
,EVESSB,EVESHAM S.B.,67352
,EVESWJN,EVESHAM WEST JN,67353
,EVNTNIB,EVANTON I.B.,1060
EWE,EWELLE,EWELL EAST,87679
EWW,EWELW,EWELL WEST,87304
,EWERSTJ,EWER STREET JUNCTION,88386
EWR,EWRTHNG,EAST WORTHING,87993
,EXET335,EXETER ST DAVIDS SIG E335,83424
,EXET664,EXETER ST DAVIDS SIG 664,83422
,EXET675,EXETER SIGNAL E675,83428
,EXET677,EXETER ST DAVIDS SIG E677,83425
,EXET679,EXETER SIG 679,83426
,EXET681,EXETER SIG. 681,83423
,EXET730,EXETER SIG 730,83427
XXT,EXETAIR,EXETER AIRPORT,0
,EXETCAR,EXETR SD CARR SDGS WESSEX,83404
,EXETCCE,EXETER CENTRAL ISU (CE),83433
,EXETDPT,EXETER ST DAVIDS PREM TRAN,83405
,EXETE35,EXETER ST DAVIDS SIG. E35,83519
EXC,EXETERC,EXETER CENTRAL,83431
,EXETEXM,EXMINSTER,83595
,EXETGBR,EXETER ALPHINGTON ROAD GBR,83514
,EXETMBS,EXETER ALPHINGTON ROAD,83513
,EXETOY,EXETER OLD YD-WAGGONERSWAY,83412
,EXETPBS,EXETER PARIS ST. BUS STN.,0
,EXETRCB,EXETER CITY BASIN,83516
,EXETRFH,EXETER RIVERSIDE HANSON,83399
XXF,EXETRFP,EXETER ST DAVIDS FP,83403
XFL,EXETRNY,EXETER NEW YARD,83411
,EXETRRY,EXETER RIVERSIDE N.Y.,83400
EXD,EXETRSD,EXETER ST DAVIDS,83421
EXT,EXETRST,EXETER ST THOMAS,83517
,EXETTMD,EXETER TMD,83405
,EXHIBDS,EXHIBITION CENTRE DWN SDG,7276
EXG,EXHIBTC,EXHIBITION CENTRE,7275
,EXMOCE,EXMOUTH JN ISU (CE),83444
,EXMODFS,EXMOUTH DK (FERRY STEPS),0
,EXMOJ20,EXMOUTH JN SIGNAL 20,83477
,EXMOJCW,EXMOUTH JN CE WORKS,83443
,EXMOTHJ,EXMOUTH JN,83441
EXM,EXMOUTH,EXMOUTH,83475
EXN,EXTON,EXTON,83472
EYM,EYNMSHC,EYNSHAM CHURCH,0
,EYNMSHW,EYNSHAM WITNEY ROAD,0
EYN,EYNSFD,EYNSFORD,89345
,FACTRYJ,FACTORY JN,87233
FRL,FAIRLIE,FAIRLIE,8216
FCN,FALCNWD,FALCONWOOD,88420
FKG,FALKRKG,FALKIRK GRAHAMSTON,5041
FKK,FALKRKH,FALKIRK HIGH,5109
FAL,FALMTHD,FALMOUTH DOCKS,85521
FMT,FALMTHT,FALMOUTH TOWN,85515
FLS,FALSWTH,FAILSWORTH (METRO),0
NFA,FAMBDGE,NORTH FAMBRIDGE,50307
FMR,FAMR,FALMER,88181
,FARE283,FAREHAM SIGNAL E283,86239
,FARE821,FAREHAM SIG E821,86237
,FARE822,FAREHAM SIGNAL E822,86240
,FARE825,FAREHAM SIGNAL E825,86238
,FAREARC,FAREHAM A.R.C. SIDINGS,86242
,FAREFHH,FAREHAM HANSON AGGS (FLHH),86244
FRM,FAREHAM,FAREHAM,86241
,FARENJN,FAREHAM NORTH JN,86243
,FARN383,FARNHAM 1383,87020
,FARN438,FARNHAM SIGNAL WK438,87035
,FARN445,FARNHAM SIGNAL WK445,87036
,FARNDRP,FARNHAM DEPOT RECEPTION RO,87032
XFN,FARNEMU,FARNHAM EMU SIDINGS,87029
,FARNF3,FARNHAM SIGNAL FN3,87027
,FARNF30,FARNHAM SIGNAL FN30,87017
FNH,FARNHAM,FARNHAM,87026
XFM,FARNHMD,FARNHAM C.S.D.,87028
FLD,FAULDHS,FAULDHOUSE,4086
,FAV4327,FV EK4327 SIG FAVERSHAM,89509
,FAV4352,FV EK4352 SIG FAVERSHAM,89518
,FAV5060,FAVERSHAM SIGNAL EK5060,89522
,FAV5062,FAVERSHAM SIGNAL EK5062,89523
,FAVR34,FAVERSHAM SHUNT SIGNAL 34,89507
,FAVRBRD,FAVERSHAM BK ROAD,89506
,FAVRCHS,FAVERSHAM C.H.S.,89501
,FAVRDNR,FAVERSHAM DOWN RECEPTION,89504
,FAVRDS1,FAVERSHAM DOWN SDG NO 1,89503
FAV,FAVRSHM,FAVERSHAM,89501
,FAVRUPS,FAVERSHAM UP SIDINGS,89502
XWK,FAWKHMJ,FAWKHAM JUNCTION,88499
XJN,FAWKNRC,FAWKHAM JN NR/CTRL BNDRY,89538
FGT,FAYGATE,FAYGATE,87935
,FAYGBUS,FAYGATE (POLICE HOUSE),0
FAZ,FAZKRLY,FAZAKERLEY,36052
,FBRNIOW,FISHBOURNE (I.O.W),0
,FDLRFHH,FIDDLERS FERRY P STN FLHH,35600
,FDLRGBF,FIDDLERS FERRY P STN GBRF,35604
,FDLRSFY,FIDDLERS FERRY POWER STN,35602
,FDLRSSB,FIDDLERS FERRY S.B.,35603
,FDRS233,FORDERS SIDINGS SIGNAL 233,62041
,FDRS250,FORDERS SIDING SIG MV250,62048
,FDRS28,FORDERS SIDINGS SIGNAL 28,62041
,FDRSFHH,FORDERS SDGS F/L HEAVY HL,62038
,FDRSGBR,FORDERS SIDINGS GBRF,62034
,FDRSSBL,FORDERS SIGNAL BOX/LOOP,62041
,FDRSSDG,FORDERS SDGS,62042
,FDRTYIB,FODDERTY I.B.,1069
FRN,FEARN,FEARN,1047
,FEARNSD,FEARN SIDINGS ISU (CE),1048
FEG,FELL,FELLGATE,13150
,FELNFRN,FELIN FRAN,79106
,FELT453,FELTHAM SIGNAL F453,87182
,FELTACE,FELTHAM ARR RD COUNTRY END,87044
,FELTALE,FELTHAM ARR RD LONDON END,87042
,FELTDEP,FELTHAM DEPOT,87033
,FELTGS,FELTHAM GRID SIDING,87120
FEL,FELTHAM,FELTHAM,87121
,FELTHMJ,FELTHAM JN,87122
FST,FENCHRS,LONDON FENCHURCH STREET,52711
FNT,FENITON,FENITON,83458
,FENN715,FENNY COMPTON SIG. OL7150,69415
,FENNCRO,CROPREDY,69418
,FENNEX,FENNY COMPTON EXCHNGE SDGS,69413
XFC,FENNYCM,FENNY COMPTON,69414
,FENYCE,FENNY COMPTON CE SDGS,69412
,FENYMOD,FENNY COMPTON M.O.D.,69411
,FENYSJN,FENNY COMPTON SOUTH JN,69404
FED,FERDALE,FERNDALE,0
FER,FERNHIL,FERNHILL,78129
,FERR747,FERRIBY SIGNAL 747,19200
,FERR752,FERRIBY SIGNAL 752,19201
FRY,FERRIBY,FERRIBY,19199
,FERY624,FERRYBRIDGE SIG 624,16715
,FERYBDG,FERRYBRIDGE NORTH JN,16710
,FERYBPS,FERRYBRIDGE POWER STATION,16712
,FERYFHH,FERRYBRIDGE C PWR STN FLHH,16709
,FERYGBF,FERRYBRIDGE PWR STN GBRF,16708
,FERYGGB,FERRYBRIDGE PS GYPSUM GBRF,16707
,FERYHS,FERRYBRIDGE H.S.,16711
,FERYLD,FERRYBRIDGE NP LOCO DEPOT,16714
,FERYRD,FERRYBRIDGE NP REPAIR DP,16713
FFA,FFAIRFC,FFAIRFACH,79073
,FFLD,FRESHFIELD HALT,0
FGH,FGDHBR,FISHGUARD HARBOUR,80011
FGW,FGDHGWK,FISHGUARD & GOODWICK,80013
XFH,FGDHSDG,FISHGUARD HARBOUR SIDING,80010
,FIFOTFL,FIFOOTS PNT PWR STN FLINER,76121
,FIFOTPS,USKMOUTH POWER STATION,76118
,FILEGRS,GRISTHORPE,19001
FIL,FILEY,FILEY,19002
,FILT343,FILTON SIG. 343,0
,FILTN06,FILTON SIGNAL DF06,0
FIT,FILTNEW,FILTON ABBEY WOOD,81305
,FILTNWJ,FILTON WEST JN,81302
,FILTONJ,FILTON JN,0
FGY,FINNGLY,FINNINGLEY,23501
FIN,FINSTCK,FINSTOCK,74453
FSK,FISKRTN,FISKERTON,55507
FZW,FITZWLM,FITZWILLIAM,18071
FWY,FIVEWYS,FIVE WAYS,66500
,FLAXB,FLAX BOURTON,81901
FLE,FLEET,FLEET,86045
,FLETTON,FLETTON JN.,45144
FLM,FLIMBY,FLIMBY,10026
FLN,FLINT,FLINT,40125
,FLINTJN,FLINT JN,40126
,FLITWCJ,FLITWICK JN,62202
FLT,FLITWCK,FLITWICK,62201
FLI,FLIXTON,FLIXTON,33096
,FLKLDFT,FALKLAND FREIGHT TERMINAL,8603
,FLKLDGL,FALKLAND DGL,8601
,FLKLJN,FALKLAND JN,8602
XFA,FLKLNDS,FALKLAND S.S.,8600
,FLKS18,FOLKESTONE EAST SIG YE18,89724
,FLKS62,FOLKESTONE EAST SHNT SG 62,0
XFE,FLKSECS,FOLKSTONE EAST C.H.S.,0
,FLKSETR,FOLKESTONE EAST TRAIN ROAD,89725
FKC,FLKSTNC,FOLKESTONE CENTRAL,89727
FKE,FLKSTNE,FOLKESTONE EAST,89723
FKH,FLKSTNH,FOLKESTONE HARBOUR,89711
FKW,FLKSTNW,FOLKESTONE WEST,89731
,FLKSWSH,FOLKESTONE WARREN STAF HLT,0
,FLORSTN,FLORISTON,9099
FOC,FLSCRHN,FALLS OF CRUACHAN,6050
FLF,FLWRYFD,FLOWERY FIELD,32222
,FLXS074,NORTH QUAY SIGNAL FW9074,49158
,FLXS634,FELIXSTOWE SIGNAL CO634,49126
,FLXSBCH,FELIXSTOWE BEACH,49131
,FLXSBJN,FELIXSTOWE BEACH JUNCTION,48128
,FLXSCDB,FELIXSTOWE CENTRAL DBC,49150
,FLXSCFL,FELIXSTOWE CENTRAL FRTLNER,49152
,FLXSCGB,FELIXSTOWE CENTRAL GBRF,49149
,FLXSCRS,FELIXSTOWE CREEK R.S,49133
,FLXSNEW,FELIXSTOWE NORTH DBC,49140
,FLXSNFL,FELIXSTOWE NORTH F.L.T.,49136
,FLXSNGB,FELIXSTOWE NORTH GBRF,49139
,FLXSNQ2,FELIXSTOWE SIGNAL NQ2,49122
,FLXSNQ4,FELIXSTOWE SIGNAL NQ4,49123
,FLXSNRP,FLIXSTWE NTH DOCKS RP GBRF,49147
,FLXSOYS,FELIXSTOWE OYSTERBED ROADS,49148
,FLXSSEW,FELIXSTOWE SOUTH DBC,49132
,FLXSSFL,FELIXSTOWE SOUTH F.L.T.,49136
,FLXSSGB,FELIXSTOWE SOUTH GBRF,49129
,FLXSSRP,FLIXSTWE STH DOCKS RP GBRF,49127
,FLXSSRT,FELIXSTOWE SOUTH RT (FL),49128
FLX,FLXSTOW,FELIXSTOWE,49137
,FLYLAFH,RUNCORN FOLLY LANE (FLHH),36510
,FLYLAIC,FOLLY LANE I.C.I. SDGS,36511
,FLYLDRS,RUNCORN FOLLY LANE (DRS),36512
FNY,FNCHLYR,FINCHLEY ROAD & FROGNAL,72417
ZFR,FNCHMET,FINCHLEY ROAD LT,0
,FNDRYTN,FEN DRAYTON,0
FPK,FNPK,FINSBURY PARK,54238
,FNPK378,FINSBURY PARK SIGS K378/9,0
,FNPK380,FINSBURY PARK SIG K380,54237
,FNPK381,FINSBURY PARK SIG K381,54236
,FNPK392,FINSBURY PARK SIG K392,54240
,FNPK407,FINSBURY PARK SIGNAL 407,54239
,FNPK53,FINSBURY PARK SIGNAL K53,54243
,FNPK60,FINSBURY PARK SIGNAL K60,54242
,FNPK68,FINSBURY PARK SIG K68,54241
,FNSTNEJ,FINNIESTON EAST JN,6362
,FNSTNWJ,FINNIESTON WEST JN,6361
,FNTLSR,FARRINGDON,63633
,FOBBING,FOBBING CROSSING,51022
,FODOUN,FORDOUN,2121
,FOLDBSJ,FOULDUBS JN,5048
,FOLEYPK,FOLEY PARK,0
FOB,FORBACH,FORBACH,762
FOD,FORD,FORD,86461
,FORDJN,FORD JUNCTION,86465
FOH,FORESTH,FOREST HILL,87627
FBY,FORMBY,FORMBY,36064
,FORMS97,FORMBY SIGNAL 97,36073
FOR,FORRES,FORRES,1127
,FORRESL,FORRES LOOP,1128
,FORSNCE,FORSINARD C.E.,1014
,FORSNLC,FORSINARD L.C.,1012
FRS,FORSNRD,FORSINARD,1012
FOK,FOUROKS,FOUR OAKS,65601
