CRS,Tiploc,Description,Stannox
AIR,AIRBLES,AIRBLES,7476
,AIRD754,AIRDRIE SIGNAL YS754,7325
,AIRDCS,AIRDRIE C.S.,7326
ADR,AIRDRIE,AIRDRIE,7327
APN,AIRP,AIRPORT (NEWCASTLE),12401
,AISGILL,AIS GILL,9438
,AISHXO,AISH EMERGENCY CROSSOVER,84060
,ALBION,ALBION G.F.,65813
,ALBNFCL,ALBANY PARK-FOOTSCRAY LANE,0
,ALBNHRC,ALBANY PARK HURST ROAD,0
,ALBNHV,ALBANY PARK-HRST RD/VAL AV,0
AYP,ALBNYPK,ALBANY PARK,88462
ALB,ALBRGHT,ALBRIGHTON,65033
ALG,ALBURGH,ALDEBURGH,0
,ALDB337,ALDERSBROOK SIGNAL 337/354,50429
XAK,ALDBUCS,ALDERSBROOK UP C.H.S.,50430
ALD,ALDEDGE,ALDERLEY EDGE,32581
,ALDEDNS,ALDERLEY EDGE DOWN SDG,32580
,ALDEUPS,ALDERLEY EDGE UP SDG,32582
ZAE,ALDGEST,ALDGATE EAST LT,87123
ZAD,ALDGTLT,LONDON ALDGATE,0
,ALDMCE,ALDERMASTON TIP ISU (CE),74713
,ALDMSPS,ALDERMASTON PADWORTH SDGS,74712
AMT,ALDMSTN,ALDERMASTON,74714
,ALDR371,ALDERSHOT SIGNAL WK1371,87038
,ALDR378,ALDERSHOT SIGNAL WK1378,87039
AHT,ALDRSHT,ALDERSHOT,87031
,ALDRSJN,ALDERSHOT NORTH JN,87037
,ALDRSJS,ALDERSHOT SOUTH JN,87013
AGT,ALDTON,ALDRINGTON,87985
,ALDW077,ALDWARKE JN S1077,24702
,ALDW109,SHEFFIELD SIG S1092,24503
,ALDW721,ROUNDWOOD CHORD SIG S721,24701
,ALDW738,ALDWARKE JN SIG S738,24500
,ALDWGBF,ALDWARKE UES GBRF,24499
,ALDWLOS,ALDWARKE LIMIT OF SHUNT,24703
,ALDWNWS,ALDWARKE U.E.S.,24501
,ALDWRKJ,ALDWARKE JN,24701
,ALDWRML,"ROUNDWOOD B.S.C. 11"" MILL",24405
